Слово,Сколько раз встретилось
скотина,144
сказать,4521
сегодня,1764
проезжать,55
рабочий,521
дом,3345
снитенко,1
гомолысов,1
магазин,961
пустырь,5
бежать,374
кошка,582
похожий,751
окрас,59
ошибиться,127
необычный,63
броситься,14
глаз,1437
очередной,486
лохотрон,105
придумывать,99
налог,327
воздух,271
обьявить,16
инсульт,40
грипп-,1
пандемия,178
лихо,28
придурок,536
зарабатывать,283
год,9344
штраф,268
фейковый,33
вакцина,196
всевозможный,15
платный,153
тест,170
продажа,296
маска,966
перчатка,113
баснословный,9
цена,3081
..,9566
самый,3171
смешной,177
баран,184
блеять,15
верить,1331
пастух,30
телевизор,208
жить,5562
гипноз,8
думать,3091
глядеть,201
сторона,958
ретро,9
дежавю,2
сложно,220
понять,1940
чужое,72
сердце,1082
лиш,18
ощутить,20
музыка,236
видимо,558
статус,414
агрогородок,1
получить,1609
август,1515
поздно,293
вечером,279
наслать,394
такой,15697
потеряшка,29
район,1
высотка,7
победа,485
девочка,1802
явно,245
домашний,298
новый,2257
ошейник,1
обращаться,445
--,2518
вчера,665
надыбал,3
стикер,6
uaecfabs,1
заколоть,6
плешивый,181
урод,1725
крякнуть,7
селезень,5
гандон,348
штопать,12
бошка,62
конкретно,123
завернуть,18
стоянка,30
никто,2391
проверять,149
безопасность,118
ребёнок,7147
возле,322
порт,40
тарзанк,2
стоить,2087
человек,12971
смотреть,3001
прыгать,98
вокруг,284
красота,1860
показать,826
почему-нет,2
ходунок,11
любовь,1866
....,7548
первый,2309
взгляд,313
ои,32
этот,4852
учить,607
скат,14
герой,713
пионер,34
анекдот,109
навыдумывать,1
подумать,625
москвич,116
знать,5440
фургало,23
как.каждый,1
день,7346
свеженький,3
классно,417
придумать,524
красота👍👍👍,2
господь,1392
надоесть,467
ерунда,204
выставлять,295
рыба,325
кушать,321
повашему,1
пусть,3759
здоровье,4854
купить,1872
наверное,1286
разбогатеть,31
это,30215
просто,6236
дэлик,1
зубилосовсем,1
немного,600
переделать,49
кузовый,1
карантин,210
отменяться,9
жамить,1
мама,2025
ефремов,172
нисделать,1
вовремя,145
оборт,8
мочь,4630
повторить,108
россия,4637
оставлять,202
российский,596
ваш,4692
забота,183
кинотеатр,42
фасад,26
сочинить,25
остальной,875
заседать,12
долбоеб,285
фэйк,25
пиздабола,101
сделать,3222
снимка,50
история,847
подать,241
дурачок,62
сми,151
бред,598
писать,3356
немой,341
марафон,37
скинуть,407
кг,499
обьема,2
уйти,915
см.,62
расслабиться,36
принцип,177
сразу,1758
путин,2699
смелый,144
пока,2001
хвалиться,39
нечего,685
очень,8992
хотеться,1672
затевать,5
ремонт,425
зал,85
коридор,24
работа,2510
огород,238
батька,356
огонь,278
играть,895
взять,1776
труд,687
судить,824
по-моему,111
большой,2222
открытие,102
человеком￼,1
беспардонность,1
говорить,3602
пророк,109
илья,131
пописать,12
😃😃😃,20
секс,183
мосажа,1
чтоль,106
мляять,3
фомин,8
издесь,1
умничать,67
чайка,49
помойный,48
сука,2623
неужели,511
непопробовать,1
друг,3566
знвкомый,1
анна,146
скляров,4
герасименков,1
защитник,139
ты,5438
решать,274
точно,1870
тупой,807
вонючий,293
тролль,176
старый,914
пидорас,882
пойти,1421
нах,139
tr,140
здорово,609
осознавать,38
поддерживать,414
помогать,780
стимулировать,15
считать,1098
грех,275
доживать,37
я,334
заболеть,185
ухаживать,83
должный,2605
поучительный,26
слава,770
бог,4184
рада,421
😊👍,9
правильный,454
